Source,Target,edgeID,signal,color
"BDNF","NGFR","None","a","#000000"
"STAT3","MMP2","None","a","#000000"
"STAT3","TWIST1","None","a","#000000"
"STAT3","MMP9","None","a","#000000"
"STAT3","STAT3","None","a","#000000"
"MMP2","TWIST1","d60fb_KUGD3_d820e_1","a","#nan"
"MMP2","MMP9","d60fb_d820e_unlabeled","a","#unlabeled"
"TWIST1","MMP2","d60fb_KUGD3_d820e_2","a","#nan"
"TWIST1","MMP9","KUGD3_d820e_unlabeled","a","#unlabeled"
"TWIST1","CDH11","aab3c_VNC1I_unlabeled","a","#unlabeled"
"TWIST1","TWIST1","None","None","None"
"MMP9","MMP2","d820e_d60fb_unlabeled","a","#unlabeled"
"MMP9","TWIST1","d820e_KUGD3_unlabeled","a","#unlabeled"
"F2RL2","RAC1","None","a","#000000"
"RAC1","RAC1","None","a","#000000"
"RAC1","PAK1","None","a","#000000"
"RAC1","PAK2","None","a","#000000"
"RAC1","PAK3","None","a","#000000"
"RAC1","PAK4","None","a","#000000"
"RAC1","PAK5","None","a","#000000"
"RAC1","PAK6","None","a","#000000"
"RAC1","CDH11","JJOPC_9P52C_P17VX_KG8BO_b4450_5","a","#nan"
"RAC1","NGEF","JJOPC_9P52C_P17VX_KG8BO_b4450_5","a","#nan"
"RAC1","TIAM1","b4450_P17VX_unlabeled","a","#unlabeled"
"RAC1","TRIO","JJOPC_9P52C_P17VX_KG8BO_b4450_5","a","#nan"
"PAK1","RHOA","None","i","#000000"
"PAK1","PAK2","b4969_c19f9_unlabeled","a","#unlabeled"
"PAK1","PAK3","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_1","a","#nan"
"PAK1","PAK4","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_1","a","#nan"
"PAK1","PAK5","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_1","a","#nan"
"PAK1","PAK6","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_1","a","#nan"
"PAK2","RHOA","None","i","#000000"
"PAK2","PAK1","c19f9_b4969_unlabeled","a","#unlabeled"
"PAK2","PAK3","c19f9_CJEFQ_unlabeled","a","#unlabeled"
"PAK2","PAK4","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_2","a","#nan"
"PAK2","PAK5","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_2","a","#nan"
"PAK2","PAK6","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_2","a","#nan"
"PAK3","RHOA","None","i","#000000"
"PAK3","PAK1","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_3","a","#nan"
"PAK3","PAK2","CJEFQ_c19f9_unlabeled","a","#unlabeled"
"PAK3","PAK4","CJEFQ_6U40E_unlabeled","a","#unlabeled"
"PAK3","PAK5","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_3","a","#nan"
"PAK3","PAK6","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_3","a","#nan"
"PAK4","RHOA","None","i","#000000"
"PAK4","PAK1","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_4","a","#nan"
"PAK4","PAK2","b4969_c19f9_CJEFQ_6U40E_W5EOG_HUOJB_4","a","#nan"
"PAK4","PAK3","6U40E_CJEFQ_unlabeled","a","#unlabeled"
"PAK4","PAK5","6U40E_W5EOG_unlabeled","a","#unlabeled"
