source|target|source_label|target_label|source_id|target_id
RELA|RELA|RELA|RELA|http://www.ncbi.nlm.nih.gov/gene/5970|http://www.ncbi.nlm.nih.gov/gene/5970
RELA|REL|RELA|REL|http://www.ncbi.nlm.nih.gov/gene/5970|http://www.ncbi.nlm.nih.gov/gene/5966
RELA|NFKB1|RELA|NFKB1|http://www.ncbi.nlm.nih.gov/gene/5970|http://www.ncbi.nlm.nih.gov/gene/4790
RELA|NFKBIA|RELA|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/5970|http://www.ncbi.nlm.nih.gov/gene/4792
RELA|NFKBIE|RELA|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/5970|http://www.ncbi.nlm.nih.gov/gene/4794
REL|RELA|REL|RELA|http://www.ncbi.nlm.nih.gov/gene/5966|http://www.ncbi.nlm.nih.gov/gene/5970
REL|REL|REL|REL|http://www.ncbi.nlm.nih.gov/gene/5966|http://www.ncbi.nlm.nih.gov/gene/5966
REL|NFKB1|REL|NFKB1|http://www.ncbi.nlm.nih.gov/gene/5966|http://www.ncbi.nlm.nih.gov/gene/4790
REL|NFKBIA|REL|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/5966|http://www.ncbi.nlm.nih.gov/gene/4792
REL|NFKBIE|REL|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/5966|http://www.ncbi.nlm.nih.gov/gene/4794
NFKB1|RELA|NFKB1|RELA|http://www.ncbi.nlm.nih.gov/gene/4790|http://www.ncbi.nlm.nih.gov/gene/5970
NFKB1|REL|NFKB1|REL|http://www.ncbi.nlm.nih.gov/gene/4790|http://www.ncbi.nlm.nih.gov/gene/5966
NFKB1|NFKB1|NFKB1|NFKB1|http://www.ncbi.nlm.nih.gov/gene/4790|http://www.ncbi.nlm.nih.gov/gene/4790
NFKB1|NFKBIA|NFKB1|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/4790|http://www.ncbi.nlm.nih.gov/gene/4792
NFKB1|NFKBIE|NFKB1|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/4790|http://www.ncbi.nlm.nih.gov/gene/4794
NFKBIA|RELA|NFKBIA|RELA|http://www.ncbi.nlm.nih.gov/gene/4792|http://www.ncbi.nlm.nih.gov/gene/5970
NFKBIA|REL|NFKBIA|REL|http://www.ncbi.nlm.nih.gov/gene/4792|http://www.ncbi.nlm.nih.gov/gene/5966
NFKBIA|NFKB1|NFKBIA|NFKB1|http://www.ncbi.nlm.nih.gov/gene/4792|http://www.ncbi.nlm.nih.gov/gene/4790
NFKBIA|NFKBIA|NFKBIA|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/4792|http://www.ncbi.nlm.nih.gov/gene/4792
NFKBIA|NFKBIE|NFKBIA|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/4792|http://www.ncbi.nlm.nih.gov/gene/4794
NFKBIE|RELA|NFKBIE|RELA|http://www.ncbi.nlm.nih.gov/gene/4794|http://www.ncbi.nlm.nih.gov/gene/5970
NFKBIE|REL|NFKBIE|REL|http://www.ncbi.nlm.nih.gov/gene/4794|http://www.ncbi.nlm.nih.gov/gene/5966
NFKBIE|NFKB1|NFKBIE|NFKB1|http://www.ncbi.nlm.nih.gov/gene/4794|http://www.ncbi.nlm.nih.gov/gene/4790
NFKBIE|NFKBIA|NFKBIE|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/4794|http://www.ncbi.nlm.nih.gov/gene/4792
NFKBIE|NFKBIE|NFKBIE|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/4794|http://www.ncbi.nlm.nih.gov/gene/4794
CHUK|RELA|CHUK|RELA|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/5970
CHUK|NFKBIA|CHUK|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/4792
CHUK|REL|CHUK|REL|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/5966
CHUK|NFKB1|CHUK|NFKB1|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/4790
CHUK|NFKBIE|CHUK|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/4794
CHUK|IKBKB|CHUK|IKBKB|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/3551
CHUK|IKBKG|CHUK|IKBKG|http://www.ncbi.nlm.nih.gov/gene/1147|http://www.ncbi.nlm.nih.gov/gene/8517
IKBKB|RELA|IKBKB|RELA|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/5970
IKBKB|NFKBIA|IKBKB|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/4792
IKBKB|REL|IKBKB|REL|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/5966
IKBKB|NFKB1|IKBKB|NFKB1|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/4790
IKBKB|NFKBIE|IKBKB|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/4794
IKBKB|CHUK|IKBKB|CHUK|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/1147
IKBKB|IKBKG|IKBKB|IKBKG|http://www.ncbi.nlm.nih.gov/gene/3551|http://www.ncbi.nlm.nih.gov/gene/8517
IKBKG|RELA|IKBKG|RELA|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/5970
IKBKG|NFKBIA|IKBKG|NFKBIA|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/4792
IKBKG|REL|IKBKG|REL|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/5966
IKBKG|NFKB1|IKBKG|NFKB1|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/4790
IKBKG|NFKBIE|IKBKG|NFKBIE|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/4794
IKBKG|CHUK|IKBKG|CHUK|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/1147
IKBKG|IKBKB|IKBKG|IKBKB|http://www.ncbi.nlm.nih.gov/gene/8517|http://www.ncbi.nlm.nih.gov/gene/3551
