Source,Target,edgeID,signal,color
"INOS","NO","id1b0020c3","a","#000000"
"INOS","Urea cycle","id87a1c8a9","a","#000000"
"NO","NRS","a547d","a","#000000"
"NO","Sensitization and
hyperexcitation","e68c7","a","#000000"
"e-","ROS","idac8c8415","a","#000000"
"e-","ATP","caa0a_c355f_unlabeled","a","#unlabeled"
"Sorbitol","Fructose","id1fe4b57f","a","#000000"
"Fructose","AGE","id6cf3104e","a","#000000"
"AGE","RAGE","idd141e86a","a","#000000"
"AGE","Protein
synthesis","None","None","None"
"AGE","MMP","None","None","None"
"BDNF","BDNFR","id2200777c","a","#000000"
"BDNFR","Sensitization and
hyperexcitation","e3e66","a","#000000"
"NADPH","NADP","None","None","None"
"Protein
synthesis","SNAP
proteins","id5f2f6416","i","#000000"
"Protein
synthesis","Sensitization and
hyperexcitation","a646f","a","#000000"
"Glucose","NADPH
oxidase","idc3e01a6c","a","#000000"
"Glucose","Glucose","e9e3a","a","#000000"
"Glucose","Sorbitol","a6e72","a","#000000"
"Glucose","AGE","None","None","None"
"Glucose","ATP","None","None","None"
"Glucose","e-","None","None","None"
"Glucose","Protein
synthesis","None","None","None"
"PGE2","GPCR","id4dcce697","a","#000000"
"PKC","Na⁺/K⁺-ATPase","id53d0f55b","a","#000000"
"PKC","PRKCQ","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCZ","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCD","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCH","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCI","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCE","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCG","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKD3","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCA","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"PKC","PRKCB","PKWUC_5RJVZ_5KAQ2_Z928F_5J0QK_VT6HA_JND81_H8AWJ_KQUG0_F5PGJ_bc233_11","a","#nan"
"Na⁺/K⁺-ATPase","Na+","id923301e0","a","#000000"
"Na⁺/K⁺-ATPase","K+","id6330e88e","a","#000000"
"ATP","e-","c355f_caa0a_unlabeled","a","#unlabeled"
"Aldose 
reductase","Sorbitol","a6e72","a","#000000"
"K+","K+","id6330e88e","a","#000000"
"K+","Ion
imbalance","idd0314a6f","a","#000000"
"K+","Sensitization and
hyperexcitation","b47ff","a","#000000"
"K+","Na+","bd6f9_cb8d5_unlabeled","a","#unlabeled"
"Nav1.6","Na+","id7b09614b","a","#000000"
"Na+","Sensitization and
hyperexcitation","e1170","a","#000000"
"Na+","Na+","id923301e0","a","#000000"
"Na+","K+","cb8d5_bd6f9_unlabeled","a","#unlabeled"
"Sorbitol 
dehydrogenase","NADH","None","None","None"
"O2- radical","ROS","idac8c8415","a","#000000"
"O2- radical","O2- radical","idcc5067f9","a","#000000"
"ROS","NO","idd0b79c7f","a","#000000"
"ROS","O2- radical","fc46c","a","#000000"
"Cytokines","TKR","idbb11df2","a","#000000"
"TKR","Protein
kinases","a88b9","a","#000000"
"Glut-1","Glucose","e9e3a","a","#000000"
"Glut-1","Glut-3","d91b5_ffedf_unlabeled","a","#unlabeled"
"Glut-3","Glucose","e9e3a","a","#000000"
"Glut-3","Glut-1","ffedf_d91b5_unlabeled","a","#unlabeled"
"NADPH
oxidase","ROS","e2b3c","a","#000000"
"NMDA","Protein
kinases","idf089d356","u","#000000"
"NMDA","Ca2+","c7071","a","#000000"
"Protein
kinases","Sensitization and
hyperexcitation","eedb2","a","#000000"
"NAD","Fructose","id1fe4b57f","a","#000000"
"Nav1.7","Na+","c51b9","a","#000000"
"Nav1.8","Na+","f7323","a","#000000"
"TRPV1","Ca2+","b40da","a","#000000"
"Ca2+","PKC","b3b66","a","#000000"
"TRPA1","Ca2+","b9996","a","#000000"
"MMP7","MMP28","6DBMT_9WLCE_unlabeled","a","#unlabeled"
"MMP7","MMP15","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP16","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP3","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP23B","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP20","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP1","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP2","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP10","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP11","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP8","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP9","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP13","6DBMT_3AFOC_unlabeled","a","#unlabeled"
"MMP7","MMP12","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
"MMP7","MMP24","6DBMT_9WLCE_70IXY_5XN4H_14N61_M5VPC_I3CTM_2NXUS_SPLH4_2ERTD_HS1XS_0JDRT_CFDL0_3AFOC_M975I_42YTZ_MTQ2D_TVMBP_B6IJZ_MEWOT_85KMM_OFTZD_1","a","#nan"
