Source,Target,edgeID,signal,color
"ARC","Proteasome","id15590196","a","#000000"
"TSC2","RHEB","iddfd6ca09","a","#000000"
"TSC2","GDP","iddfd6ca09","a","#000000"
"TSC2","TSC1","f18f0_d5723_unlabeled","a","#unlabeled"
"Ca 2+","CAMK2B","id2ecb4b55","a","#000000"
"Ca 2+","CAMK4","id2ecb4b55","a","#000000"
"Ca 2+","Ca 2+","id45f0f207","a","#000000"
"CAMK2B","CAMK4","e5524_f2380_unlabeled","a","#unlabeled"
"CAMK4","CAMK2B","f2380_e5524_unlabeled","a","#unlabeled"
"UBE3A","ARC","id3433fbff","a","#000000"
"MTOR","EIF4EBP1","id3b3d2399","a","#000000"
"MTOR","Autophagy","id6251c10e","i","#000000"
"MTOR","RPS6KB1","ide017ba7e","a","#000000"
"MTOR","RPTOR","a70b4_fdb59_1","a","#nan"
"EIF4EBP1","mRNA translation
and protein synthesis","idde681bb4","a","#000000"
"rapamycin","MTOR","id40eb718a","i","#000000"
"NTRK2","HRAS","id462b9271","a","#000000"
"NTRK2","KRAS","id462b9271","a","#000000"
"NTRK2","NRAS","id462b9271","a","#000000"
"NTRK2","PIK3CA","id783895d2","a","#000000"
"NTRK2","PIK3CB","id783895d2","a","#000000"
"NTRK2","PIK3CD","id783895d2","a","#000000"
"NTRK2","PIK3R3","id783895d2","a","#000000"
"NTRK2","PIK3R2","id783895d2","a","#000000"
"NTRK2","PIK3R1","id783895d2","a","#000000"
"HRAS","MAPK3","ida48a700d","a","#000000"
"HRAS","MAPK1","ida48a700d","a","#000000"
"HRAS","KRAS","LGBEA_ad1ed_unlabeled","a","#unlabeled"
"HRAS","NRAS","LGBEA_ad1ed_d68bd_1","a","#nan"
"KRAS","MAPK3","ida48a700d","a","#000000"
"KRAS","MAPK1","ida48a700d","a","#000000"
"KRAS","HRAS","ad1ed_LGBEA_unlabeled","a","#unlabeled"
"KRAS","NRAS","ad1ed_d68bd_unlabeled","a","#unlabeled"
"NRAS","MAPK3","ida48a700d","a","#000000"
"NRAS","MAPK1","ida48a700d","a","#000000"
"NRAS","HRAS","LGBEA_ad1ed_d68bd_3","a","#nan"
"NRAS","KRAS","d68bd_ad1ed_unlabeled","a","#unlabeled"
"AKT2","TSC1","id46c2f0a5","i","#000000"
"AKT2","TSC2","id46c2f0a5","i","#000000"
"AKT2","AKT1","OR6XR_d4f64_unlabeled","a","#unlabeled"
"AKT2","AKT3","OR6XR_f7843_unlabeled","a","#unlabeled"
"TSC1","TSC2","d5723_f18f0_unlabeled","a","#unlabeled"
"AKT1","TSC1","id46c2f0a5","i","#000000"
"AKT1","TSC2","id46c2f0a5","i","#000000"
"AKT1","AKT2","d4f64_OR6XR_unlabeled","a","#unlabeled"
"AKT1","AKT3","OR6XR_d4f64_f7843_2","a","#nan"
"AKT3","TSC1","id46c2f0a5","i","#000000"
"AKT3","TSC2","id46c2f0a5","i","#000000"
"AKT3","AKT2","f7843_OR6XR_unlabeled","a","#unlabeled"
"AKT3","AKT1","OR6XR_d4f64_f7843_3","a","#nan"
"RPS6KB1","Cell 
proliferation","id4b3a5e3a","a","#000000"
"BDNF","NTRK2","id4ce021ed","a","#000000"
"MAPK3","TSC1","id5490d728","i","#000000"
"MAPK3","TSC2","id5490d728","i","#000000"
"MAPK3","MAPK1","ab418_ec98f_unlabeled","a","#unlabeled"
"MAPK1","TSC1","id5490d728","i","#000000"
"MAPK1","TSC2","id5490d728","i","#000000"
"MAPK1","MAPK3","ec98f_ab418_unlabeled","a","#unlabeled"
"CACNA1C","Ca 2+","id45f0f207","a","#000000"
"GRM1","PIK3CA","id652dd248","a","#000000"
"GRM1","PIK3CB","id652dd248","a","#000000"
"GRM1","PIK3CD","id652dd248","a","#000000"
"GRM1","PIK3R3","id652dd248","a","#000000"
"GRM1","PIK3R2","id652dd248","a","#000000"
"GRM1","PIK3R1","id652dd248","a","#000000"
"GRM1","HOMER1","9B0N5_ab980_unlabeled","a","#unlabeled"
"GRM1","SHANK3","9B0N5_ab980_77XSA_1","a","#nan"
"PIK3CA","AKT2","idc5fe1f8d","a","#000000"
"PIK3CA","AKT1","idc5fe1f8d","a","#000000"
"PIK3CA","AKT3","idc5fe1f8d","a","#000000"
"PIK3CA","PIK3CB","1E73X_RIYR4_unlabeled","a","#unlabeled"
"PIK3CA","PIK3CD","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_1","a","#nan"
"PIK3CA","PIK3R3","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_1","a","#nan"
"PIK3CA","PIK3R2","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_1","a","#nan"
"PIK3CA","PIK3R1","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_1","a","#nan"
"PIK3CB","AKT2","idc5fe1f8d","a","#000000"
"PIK3CB","AKT1","idc5fe1f8d","a","#000000"
"PIK3CB","AKT3","idc5fe1f8d","a","#000000"
"PIK3CB","PIK3CA","RIYR4_1E73X_unlabeled","a","#unlabeled"
"PIK3CB","PIK3CD","RIYR4_31705_unlabeled","a","#unlabeled"
"PIK3CB","PIK3R3","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_2","a","#nan"
"PIK3CB","PIK3R2","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_2","a","#nan"
"PIK3CB","PIK3R1","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_2","a","#nan"
"PIK3CD","AKT2","idc5fe1f8d","a","#000000"
"PIK3CD","AKT1","idc5fe1f8d","a","#000000"
"PIK3CD","AKT3","idc5fe1f8d","a","#000000"
"PIK3CD","PIK3CA","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_3","a","#nan"
"PIK3CD","PIK3CB","31705_RIYR4_unlabeled","a","#unlabeled"
"PIK3CD","PIK3R3","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_3","a","#nan"
"PIK3CD","PIK3R2","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_3","a","#nan"
"PIK3CD","PIK3R1","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_3","a","#nan"
"PIK3R3","AKT2","idc5fe1f8d","a","#000000"
"PIK3R3","AKT1","idc5fe1f8d","a","#000000"
"PIK3R3","AKT3","idc5fe1f8d","a","#000000"
"PIK3R3","PIK3CA","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_4","a","#nan"
"PIK3R3","PIK3CB","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_4","a","#nan"
"PIK3R3","PIK3CD","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_4","a","#nan"
"PIK3R3","PIK3R2","3MZVV_5DZ7H_unlabeled","a","#unlabeled"
"PIK3R3","PIK3R1","1E73X_RIYR4_31705_3MZVV_5DZ7H_8PTD5_4","a","#nan"
"PIK3R2","AKT2","idc5fe1f8d","a","#000000"
"PIK3R2","AKT1","idc5fe1f8d","a","#000000"
