Source,Target,edgeID,signal,color
"PPP1R14A","PPP1R12A","id2bdae161","i","#000000"
"PPP1R14A","PPP1CA","id2bdae161","i","#000000"
"PPP1R14A","PPP1CB","id2bdae161","i","#000000"
"PPP1R14A","PPP1CC","id2bdae161","i","#000000"
"PPP1R12A","NF2","id86429cdf","a","#000000"
"PPP1R12A","PPP1CA","af290_e3b98_unlabeled","a","#unlabeled"
"PPP1R12A","PPP1CB","af290_e3b98_d14fb_eadba_1","a","#nan"
"PPP1R12A","PPP1CC","af290_e3b98_d14fb_eadba_1","a","#nan"
"PPP1CA","NF2","id86429cdf","a","#000000"
"PPP1CA","PPP1R12A","e3b98_af290_unlabeled","a","#unlabeled"
"PPP1CA","PPP1CB","e3b98_d14fb_unlabeled","a","#unlabeled"
"PPP1CA","PPP1CC","af290_e3b98_d14fb_eadba_2","a","#nan"
"PPP1CB","NF2","id86429cdf","a","#000000"
"PPP1CB","PPP1R12A","af290_e3b98_d14fb_eadba_3","a","#nan"
"PPP1CB","PPP1CA","d14fb_e3b98_unlabeled","a","#unlabeled"
"PPP1CB","PPP1CC","d14fb_eadba_unlabeled","a","#unlabeled"
"PPP1CC","NF2","id86429cdf","a","#000000"
"PPP1CC","PPP1R12A","af290_e3b98_d14fb_eadba_4","a","#nan"
"PPP1CC","PPP1CA","af290_e3b98_d14fb_eadba_4","a","#nan"
"PPP1CC","PPP1CB","eadba_d14fb_unlabeled","a","#unlabeled"
"CTNNB1","NF2","id30273895","a","#000000"
"CTNNB1","CTNNA1","f6079_TG9VX_1","a","#nan"
"NF2","NF2","id55086165","a","#000000"
"NF2","AMOT","id66def9ad2","a","#000000"
"NF2","LIN28B","ida89a9f94","i","#000000"
"NF2","PTK2","idabcf53ed","i","#000000"
"NF2","CD44","idf355c0102","a","#000000"
"NF2","DCAF1","idf4ea3d47","i","#000000"
"NF2","CUL4A","idf4ea3d47","i","#000000"
"NF2","DDB1","idf4ea3d47","i","#000000"
"NF2","RBX1","idf4ea3d47","i","#000000"
"NF2","STK3","cfed1","a","#000000"
"NF2","STK4","cfed1","a","#000000"
"NF2","SAV1","cfed1","a","#000000"
"CTNNA1","NF2","id30273895","a","#000000"
"CTNNA1","CTNNB1","f6079_TG9VX_2","a","#nan"
"microRNA","NF2","id45502a31","a","#000000"
"AJUBA","LATS2","id4b8a9140","a","#000000"
"AJUBA","LATS1","id4b8a9140","a","#000000"
"LATS2","YAP1","c87fe","i","#000000"
"LATS2","WWTR1","c87fe","i","#000000"
"LATS2","LATS1","V8P2L_e9fd2_unlabeled","a","#unlabeled"
"LATS2","LATS2","None","None","None"
"LATS1","YAP1","c87fe","i","#000000"
"LATS1","WWTR1","c87fe","i","#000000"
"LATS1","LATS2","e9fd2_V8P2L_unlabeled","a","#unlabeled"
"LATS1","LATS1","None","None","None"
"VGLL4","TEAD1","idb689fd42","a","#000000"
"VGLL4","TEAD2","idb689fd42","a","#000000"
"VGLL4","TEAD3","idb689fd42","a","#000000"
"VGLL4","TEAD4","idb689fd42","a","#000000"
"AMOT","NF2","id66def9ad1","a","#000000"
"YAP1","CCND1","id69c9f005","a","#000000"
"YAP1","PLCB4","id69c9f005","a","#000000"
"YAP1","CTGF","id69c9f005","a","#000000"
"YAP1","FOXM1","id69c9f005","a","#000000"
"YAP1","YAP1","idab1b992e","a","#000000"
"YAP1","WWTR1","ed1c1_df10f_unlabeled","a","#unlabeled"
"YAP1","TEAD1","idb689fd42","a","#000000"
"YAP1","TEAD2","idb689fd42","a","#000000"
"YAP1","TEAD3","idb689fd42","a","#000000"
"YAP1","TEAD4","idb689fd42","a","#000000"
"CCND1","PLCB4","d20d5_DMMTA_2HNDM_Z14LY_1","a","#nan"
"CCND1","CTGF","d20d5_2HNDM_unlabeled","a","#unlabeled"
"CCND1","FOXM1","d20d5_DMMTA_2HNDM_Z14LY_1","a","#nan"
"PLCB4","CCND1","d20d5_DMMTA_2HNDM_Z14LY_2","a","#nan"
"PLCB4","CTGF","d20d5_DMMTA_2HNDM_Z14LY_2","a","#nan"
"PLCB4","FOXM1","DMMTA_Z14LY_unlabeled","a","#unlabeled"
"CTGF","CCND1","2HNDM_d20d5_unlabeled","a","#unlabeled"
"CTGF","PLCB4","d20d5_DMMTA_2HNDM_Z14LY_3","a","#nan"
"CTGF","FOXM1","d20d5_DMMTA_2HNDM_Z14LY_3","a","#nan"
"FOXM1","CCND1","d20d5_DMMTA_2HNDM_Z14LY_4","a","#nan"
"FOXM1","PLCB4","Z14LY_DMMTA_unlabeled","a","#unlabeled"
